,name,address,start_time,end_time,start_time_saturday,end_time_saturday,start_time_holiday,end_time_holiday,fee,longitude,latitude
163,マツヤスーパー伊勢田店,京都府宇治市伊勢田町中ノ田55-3,8:30,21:45,8:30,21:45,8:30,21:45,110,135.769821,34.886761
164,精華町支店,京都府相楽郡精華町祝園西1-32-4,8:00,21:00,8:00,21:00,8:00,21:00,110,135.788864,34.759823
165,アピタタウンけいはんな,京都府相楽郡精華町精華台9丁目2-4,9:00,21:00,9:00,21:00,9:00,21:00,110,135.770935,34.745991
166,アル・プラザ木津,京都府木津川市相楽城西15番地,10:00,21:00,10:00,21:00,10:00,21:00,110,135.792496,34.738533
167,木幡支店,京都府宇治市木幡内畑3-1,8:00,21:00,8:00,21:00,8:00,21:00,110,135.79686,34.924999
168,黄檗,京都府宇治市五ケ庄西浦40番地72,8:00,21:00,8:00,21:00,8:00,21:00,110,135.803192,34.915092
169,洛南病院,京都府宇治市五ケ庄広岡谷 2番地,8:45,18:00,8:45,18:00,-,-,110,135.808319,34.917313
170,男山支店,京都府八幡市男山八望3-1,8:00,21:00,8:00,21:00,8:00,21:00,110,135.697525,34.862717
171,男山団地南,京都府八幡市男山松里１３-１,8:00,20:00,8:00,20:00,8:00,20:00,110,135.697815,34.855625
172,長沢,京都府八幡市男山長沢7番地,9:00,21:00,9:00,21:00,9:00,21:00,110,135.692245,34.868504
173,富野荘支店,京都府城陽市枇杷庄鹿背田68,8:00,21:00,8:00,21:00,8:00,21:00,110,135.773529,34.840096
174,アル・プラザ城陽,京都府城陽市富野荒見田 112番地,10:00,21:00,10:00,21:00,10:00,21:00,110,135.785339,34.843407
175,六地蔵支店,京都府宇治市六地蔵奈良町39番地の22,7:00,23:00,7:00,23:00,7:00,23:00,110,135.79747,34.934082
176,アル・プラザ醍醐,京都府京都市伏見区醍醐高畑町1-37,10:00,21:00,10:00,21:00,10:00,21:00,110,135.810547,34.951797
177,パセオ・ダイゴロー,京都府京都市伏見区醍醐高畑町30番地の1,7:30,21:00,7:30,21:00,7:30,21:00,110,135.808624,34.949467
178,MOMOテラス,京都府京都市伏見区桃山町山ノ下32番地,10:00,21:00,10:00,21:00,10:00,21:00,110,135.7948,34.937057
179,フレンドマート御蔵山店,京都府宇治市木幡平尾２７-１,9:00,21:00,9:00,21:00,9:00,21:00,110,135.812347,34.929436
180,久御山町支店,京都府久世郡久御山町佐山双栗49-1,8:00,21:00,8:00,21:00,8:00,21:00,110,135.756561,34.875214
181,久御山町役場,京都府久世郡久御山町大字田井小字浜代1-2番地,8:45,20:00,8:45,20:00,-,-,110,135.733566,34.88179
182,イオンモール久御山,京都府久世郡久御山町大字森小字南大内156-1,9:00,23:00,9:00,23:00,9:00,23:00,110,135.745865,34.893517
